货号,款号,库存,产品线,款式分类,主石重,主石颜色,主石净度,主石切工,主石,主石粒数,主石规格,主石形状,副石1,副石1粒数,副石1重,指圈,主成色,主成色重,成本价
1.50204E+11,KLNW011110,转仓中,珍珠饰品,项链,0,,,,珍珠,0,,,,0,0,,18K白金,0,491.7
1.50204E+11,KLNW011110,转仓中,珍珠饰品,项链,0,,,,珍珠,0,,,,0,0,,18K白金,0,491.7
1.50204E+11,KLNW011110,转仓中,珍珠饰品,项链,0,,,,珍珠,0,,,,0,0,,18K白金,0,491.7
1.50204E+11,KLNW011110,转仓中,珍珠饰品,项链,0,,,,珍珠,0,,,,0,0,,18K白金,0,491.7
1.50204E+11,KLNW011110,转仓中,珍珠饰品,项链,0,,,,珍珠,0,,,,0,0,,18K白金,0,491.7
1.50204E+11,KLNW011110,转仓中,珍珠饰品,项链,0,,,,珍珠,0,,,,0,0,,18K白金,0,491.7
1.50204E+11,KLNW011110,转仓中,珍珠饰品,项链,0,,,,珍珠,0,,,,0,0,,18K白金,0,491.7
1.50204E+11,KLNW011110,转仓中,珍珠饰品,项链,0,,,,珍珠,0,,,,0,0,,18K白金,0,491.7
1.50204E+11,KLNW011110,转仓中,珍珠饰品,项链,0,,,,珍珠,0,,,,0,0,,18K白金,0,491.7
1.50204E+11,KLNW011110,转仓中,珍珠饰品,项链,0,,,,珍珠,0,,,,0,0,,18K白金,0,491.7
1.50204E+11,KLNW011110,转仓中,珍珠饰品,项链,0,,,,南洋白珠,,,,,,0,,18K黄金,0,491.7
1.50204E+11,KLNW011315,转仓中,珍珠饰品,项链,0,,,,珍珠,0,,,,0,0,,18K白金,0,705
1.50204E+11,KLNW011315,转仓中,珍珠饰品,项链,0,,,,珍珠,0,,,,0,0,,18K白金,0,705
1.50204E+11,KLNW011315,转仓中,珍珠饰品,项链,0,,,,珍珠,0,,,,0,0,,18K白金,0,705
1.50204E+11,KLNW011315,转仓中,珍珠饰品,项链,0,,,,珍珠,0,,,,0,0,,18K白金,0,705
1.50204E+11,KLNW011315,转仓中,珍珠饰品,项链,0,,,,珍珠,0,,,,0,0,,18K白金,0,705
1.50204E+11,KLNW011315,转仓中,珍珠饰品,项链,0,,,,珍珠,0,,,,0,0,,18K白金,0,705
1.50204E+11,KLNW011315,转仓中,珍珠饰品,项链,0,,,,珍珠,0,,,,0,0,,18K白金,0,705
1.50204E+11,KLNW011315,转仓中,珍珠饰品,项链,0,,,,珍珠,0,,,,0,0,,18K白金,0,705
1.50204E+11,KLNW011315,转仓中,珍珠饰品,项链,0,,,,珍珠,0,,,,0,0,,18K白金,0,705
1.50204E+11,KLNW011315,转仓中,珍珠饰品,项链,0,,,,珍珠,,,,,,0,,18K白金,0,705
1412394778,KLNW011400,转仓中,素金饰品,项链,0,,,,,0,,,,0,0,,PT950,2.5,645.52
1408238668,KLNW011400,转仓中,素金饰品,项链,0,,,,,,,,,,0,,PT950,2.84,895.67
1409285368,KLNW011400,转仓中,素金饰品,项链,0,,,,,0,,,,0,0,,PT950,2.67,817.52
1107001942,KLNW011400,转仓中,素金饰品,项链,0,,,,,0,,,,0,0,,PT950,3.59,1367.79
1.50204E+11,KLNW012466,转仓中,珍珠饰品,项链,0,,,,珍珠,0,,,,0,0,,S925,0,238
1.50204E+11,KLNW012466,转仓中,珍珠饰品,项链,0,,,,珍珠,0,,,,0,0,,S925,0,238
1.50204E+11,KLNW012466,转仓中,珍珠饰品,项链,0,,,,珍珠,0,,,,0,0,,S925,0,238
1.50204E+11,KLNW012466,转仓中,珍珠饰品,项链,0,,,,珍珠,0,,,,0,0,,S925,0,238
1.50204E+11,KLNW012466,转仓中,珍珠饰品,项链,0,,,,珍珠,0,,,,0,0,,S925,0,238
1.50204E+11,KLNW012466,转仓中,珍珠饰品,项链,0,,,,珍珠,0,,,,0,0,,S925,0,238
1.50204E+11,KLNW012466,转仓中,珍珠饰品,项链,0,,,,珍珠,0,,,,0,0,,S925,0,238
1.5041E+11,KLNW012470,转仓中,素金饰品,项链,0,,,,,0,,,,0,0,,18K白金,0.88,183.05
1103038008,KLNW014601,转仓中,珍珠饰品,吊坠,0.02,,,,海水珍珠,4,,,钻石,4,0.02,,18K白金,0.6,781
1103038023,KLNW014605,转仓中,珍珠饰品,项链,0,,,,海水珍珠,0,,,,0,0,,S925,0,3210
1103041114,KLNW014659,转仓中,珍珠饰品,项链,0,,,,海水珍珠,,,,,,0,,14K金,0,2348
1.50204E+11,KLNW014815,转仓中,其他饰品,项链,0,,,,,0,,,,0,0,,S925,0,40
1.50204E+11,KLNW014815,转仓中,其他饰品,项链,0,,,,,0,,,,0,0,,S925,0,40
1.50204E+11,KLNW014815,转仓中,其他饰品,项链,0,,,,,0,,,,0,0,,S925,0,40
1.50204E+11,KLNW014815,转仓中,其他饰品,项链,0,,,,,0,,,,0,0,,S925,0,40
1.50204E+11,KLNW014815,转仓中,其他饰品,项链,0,,,,,0,,,,0,0,,S925,0,40
1.50204E+11,KLNW014815,转仓中,其他饰品,项链,0,,,,,0,,,,0,0,,S925,0,40
1111010483,KLNW015096,转仓中,珍珠饰品,项链,0,,,,淡水珍珠,0,,,,0,0,,,0,161
1204007990,KLNW017068,转仓中,珍珠饰品,吊坠,0,,,,珍珠,0,,,,0,0,,S925,0,71
1202047362,KLNW017664,转仓中,珍珠饰品,项链,0,,,,珍珠,0,,,,0,0,,S925,0,133
1204017886,KLNW017680,转仓中,珍珠饰品,项链,0,,,,珍珠,0,,,,0,0,,S925,0,463
1.50204E+11,KLNW019251,转仓中,珍珠饰品,项链,0,,,,淡水白珠,0,,,,0,0,,无,0,190
1.50204E+11,KLNW019251,转仓中,珍珠饰品,项链,0,,,,淡水白珠,0,,,,0,0,,无,0,190
1.50204E+11,KLNW019251,转仓中,珍珠饰品,项链,0,,,,淡水白珠,0,,,,0,0,,无,0,190
1207010284,KLNW019376,转仓中,珍珠饰品,项链,0,,,,珍珠,0,,,,0,0,,S925,0,218
1.5032E+11,KLNW020824,转仓中,素金饰品,项链,0,,,,,0,,,,0,0,,PT950,2.41,598.89
1.5032E+11,KLNW020824,转仓中,素金饰品,项链,0,,,,,0,,,,0,0,,PT950,2.38,591.43
1.5032E+11,KLNW020824,转仓中,素金饰品,项链,0,,,,,0,,,,0,0,,PT950,2.42,601.37
1.5032E+11,KLNW020824,转仓中,素金饰品,项链,0,,,,,0,,,,0,0,,PT950,2.41,598.89
1.50204E+11,KLNW023472,转仓中,珍珠饰品,项链,0,,,,珍珠,0,,,,0,0,,14K白金,0,675
1.50204E+11,KLNW023472,转仓中,珍珠饰品,项链,0,,,,珍珠,0,,,,0,0,,14K白金,0,675
1.50204E+11,KLNW023472,转仓中,珍珠饰品,项链,0,,,,珍珠,0,,,,0,0,,14K白金,0,675
1.50204E+11,KLNW023472,转仓中,珍珠饰品,项链,0,,,,珍珠,0,,,,0,0,,14K白金,0,675
1.50204E+11,KLNW023472,转仓中,珍珠饰品,项链,0,,,,珍珠,0,,,,0,0,,14K白金,0,675
1409289363,KLNW024712,转仓中,素金饰品,套链,0,,,,,0,,,,0,0,,PT950,4.83,1449.97
1.50415E+11,KLNW025134,转仓中,钻石饰品,套链,0.106,I-J,SI,,钻石,1,,,,,0,,18K玫瑰金,1.34,813.69
1408245272,KLNW025409,转仓中,素金饰品,项链,0,,,,,,,,,,0,,PT950,3.45,1087.05
1407230866,KLNW026635,转仓中,素金饰品,项链,0,,,,,,,,,,0,,18K白金,1.15,269.79
1.50324E+11,KLNW026637,转仓中,素金饰品,项链,0,,,,,0,,,,0,0,,18K黄金,0.89,181.51
1.50324E+11,KLNW026637,转仓中,素金饰品,项链,0,,,,,0,,,,0,0,,18K黄金,0.88,179.55
1.50324E+11,KLNW026637,转仓中,素金饰品,项链,0,,,,,0,,,,0,0,,18K黄金,0.87,177.58
1.50324E+11,KLNW026637,转仓中,素金饰品,项链,0,,,,,0,,,,0,0,,18K黄金,0.88,179.55
1.50324E+11,KLNW026637,转仓中,素金饰品,项链,0,,,,,0,,,,0,0,,18K黄金,0.87,177.58
1.50324E+11,KLNW026637,转仓中,素金饰品,项链,0,,,,,0,,,,0,0,,18K黄金,0.88,179.55
1.50324E+11,KLNW026637,转仓中,素金饰品,项链,0,,,,,0,,,,0,0,,18K黄金,0.88,179.55
1.50324E+11,KLNW026637,转仓中,素金饰品,项链,0,,,,,0,,,,0,0,,18K黄金,0.88,179.55
1.50324E+11,KLNW026637,转仓中,素金饰品,项链,0,,,,,0,,,,0,0,,18K黄金,0.88,179.55
1411347119,KLNW026640,转仓中,素金饰品,项链,0,,,,,,,,,,0,,PT950,3.77,1010.36
1.50309E+11,KLNW026640,转仓中,素金饰品,项链,0,,,,,0,,,,0,0,,PT950,2.37,610.09
1409299653,KLNW026683,转仓中,素金饰品,项链,0,,,,,,,,,,0,,18K黄金,0.8,175.17
1411343265,KLNW026686,转仓中,素金饰品,项链,0,,,,,0,,,,0,0,,18K玫瑰金,0.96,203.22
1410317158,KLNW026693,转仓中,素金饰品,项链,0,,,,,0,,,,0,0,,18K白金,0.79,169.35
1410317268,KLNW026693,转仓中,素金饰品,项链,0,,,,,,,,,,0,,18K白金,0.79,166.37
1410317154,KLNW026693,转仓中,素金饰品,项链,0,,,,,0,,,,0,0,,18K白金,0.8,171.41
1410317155,KLNW026693,转仓中,素金饰品,项链,0,,,,,0,,,,0,0,,18K白金,0.8,171.41
1410317156,KLNW026693,转仓中,素金饰品,项链,0,,,,,0,,,,0,0,,18K白金,0.79,169.35
1410317162,KLNW026693,转仓中,素金饰品,项链,0,,,,,0,,,,0,0,,18K白金,0.79,169.35
1411342785,KLNW026693,转仓中,素金饰品,项链,0,,,,,0,,,,0,0,,18K白金,0.83,176.44
1411342786,KLNW026693,转仓中,素金饰品,项链,0,,,,,0,,,,0,0,,18K白金,0.83,176.44
1411342787,KLNW026693,转仓中,素金饰品,项链,0,,,,,0,,,,0,0,,18K白金,0.83,176.44
1411342793,KLNW026693,转仓中,素金饰品,项链,0,,,,,0,,,,0,0,,18K白金,0.85,180.56
1411342801,KLNW026693,转仓中,素金饰品,项链,0,,,,,0,,,,0,0,,18K白金,0.81,172.32
1410317269,KLNW026693,转仓中,素金饰品,项链,0,,,,,,,,,,0,,18K白金,0.8,168.4
1410317270,KLNW026693,转仓中,素金饰品,项链,0,,,,,,,,,,0,,18K白金,0.8,168.4
1410317271,KLNW026693,转仓中,素金饰品,项链,0,,,,,,,,,,0,,18K白金,0.79,166.37
1410317275,KLNW026693,转仓中,素金饰品,项链,0,,,,,,,,,,0,,18K白金,0.8,168.4
1410317276,KLNW026693,转仓中,素金饰品,项链,0,,,,,,,,,,0,,18K白金,0.79,166.37
1.50318E+11,KLNW026716,转仓中,素金饰品,项链,0,,,,,0,,,,0,0,,PT950,3.68,902.56
1411353533,KLNW026716,转仓中,素金饰品,项链,0,,,,,0,,,,0,0,,PT950,2.95,773.4
1411373366,KLNW026931,转仓中,钻石饰品,套链,0.07,,,,钻石,18,,,,,0,,18K白金,2.01,1000
1409300412,KLNW026934,转仓中,素金饰品,项链,0,,,,,,,,,,0,,PT950,3.39,961.6
